2,3,4,5,6,7
46,452,2454,54515,165111,5314664
45,334,5225,45421,545525,3223532
61,355,6343,15334,612321,5136523
44,216,1146,25632,652334,2322462
62,351,3444,31445,614252,
11,443,2326,54464,254653,
43,526,5514,62115,162445,
41,232,6443,13544,133312,
12,623,2263,42455,432241,
42,362,5466,42166,162422,
13,413,3222,41111,112414,
15,162,2522,41445,251425,
34,343,4454,51231,616663,
,634,4242,24114,153211,
,533,3152,,361613,
,455,6556,,551454,
,,,,232322,
,,,,625545,
,,,,631222,
,,,,455512,
,,,,634116,
,,,,241513,
,,,,615534,
,,,,641331,
