3,4,5,6,7,8,9
121,2252,12214,143163,6123265,64314536,432664344
324,2335,55523,225651,5465341,42654351,614252512
245,3223,56114,664511,1146216,24544525,112425632
532,4515,15624,531124,6166634,61154552,251425351
561,4542,32144,316665,1552433,13652334,622221441
465,5311,25225,243422,5621612,16242211,556211335
334,6244,33122,225254,1142363,23262443,
623,5451,32241,441356,5616611,55163521,
446,3436,65561,314664,4262635,55244315,
321,1234,13161,165111,1236121,21212215,
336,5513,46555,132321,1562353,11354335,
435,5232,41655,652543,4453253,,
462,1444,12425,163242,6553542,,
222,3444,44356,261243,6424152,,
466,1445,22254,313122,5153362,,
444,2641,45563,246513,5226315,,
214,6242,15552,216443,4332642,,
554,1151,26633,334442,2514312,,
262,3563,62143,412416,1124451,,
536,4214,12112,252325,,,
432,2161,23211,234664,,,
246,2643,52522,632112,,,
513,3345,51666,454542,,,
614,3612,45541,351262,,,
356,1566,26111,535435,,,
132,5243,14214,142321,,,
332,1546,51311,621513,,,
241,3564,24444,221414,,,
566,6324,26635,243236,,,
323,1513,34444,,,,
,6211,14166,,,,
,5341,,,,,
,6363,,,,,
,2421,,,,,
,1315,,,,,
,1222,,,,,
,2456,,,,,
