2,3,4,5,6,7,8,9
62,554,5546,43422,265266,6153421,14321463,545431313
51,114,2226,14613,432441,2132335,31645623,
52,363,2242,21115,333221,3663315,34622213,
12,416,6442,36152,431643,1311356,32424152,
16,426,3465,23312,165141,4614425,16216252,
53,523,2313,64213,236325,6324563,,
44,552,3545,32412,636434,2522331,,
32,321,3435,53231,543112,6613231,,
64,236,4562,14263,164226,,,
41,122,6542,45451,356243,,,
24,665,1453,65425,526331,,,
54,551,4632,36336,462564,,,
35,232,1112,35526,355546,,,
36,242,2553,62251,252246,,,
11,423,2425,64464,551245,,,
66,322,4616,46165,434465,,,
23,253,1223,25631,614653,,,
,234,3552,46123,,,,
,511,2642,11652,,,,
,334,1343,51253,,,,
,662,6561,25144,,,,
,544,6266,16344,,,,
,235,4156,65412,,,,
,,1141,63161,,,,
,,6126,24563,,,,
,,6414,62355,,,,
,,2345,43112,,,,
,,6112,25213,,,,
,,2152,64252,,,,
,,,56622,,,,
