2,3,4,5,6,7,8
24,121,4326,12214,143163,2232252,64314536
33,324,4344,55523,225651,4265435,46123265
21,245,2335,56114,664511,5465341,24544525
65,532,3223,15624,531124,1146216,31226343
12,552,4515,32144,316665,6166634,62355513
63,561,6115,32241,225254,1552433,51425351
46,334,4542,16242,441356,5621612,55163521
51,465,1365,65561,314664,1142363,55244315
61,443,2522,13161,165111,5616611,21212215
56,446,5311,36121,264123,4262635,11354335
,336,6142,46555,132321,1562353,
,151,2512,41655,163242,4453253,
,435,6244,44356,261243,6553542,
,462,5451,45563,313122,6424152,
,543,1234,55621,246513,4215552,
,222,5232,62143,216443,5153362,
,524,2112,12112,334442,4454542,
,466,1444,12416,252325,5411132,
,335,1124,23211,234664,4332642,
,444,5632,32112,525225,2514312,
,214,3444,52263,652666,1124451,
,554,1445,26111,351262,,
,262,2326,14214,535435,,
,536,6222,51311,142321,,
,432,1441,24444,621513,,
,356,6242,26635,221414,,
,332,3563,34444,243236,,
,323,4214,14166,,,
,,2161,,,,
,,2643,,,,
,,3345,,,,
,,3612,,,,
,,1566,,,,
,,1546,,,,
,,2254,,,,
,,3564,,,,
,,1513,,,,
,,6211,,,,
,,2663,,,,
,,5341,,,,
,,6363,,,,
,,2421,,,,
,,1315,,,,
,,3241,,,,
,,1222,,,,
,,2456,,,,
