2,3,4,5,6,7,8,9,10,11,12
46,461,7616,66767,711361,6681416,76414441,611477411,7416464174,44164477281,444144512651
76,734,4643,67643,721275,6441714,14744411,634674116,1462376411,46414622341,446254614641
14,681,4334,64661,417411,6751446,46147744,836658526,1446644166,71147444444,541111464662
45,874,7648,66827,163514,1644714,44851434,114641616,6417641627,11241311141,727676847664
86,246,4764,26816,544174,6446337,28484464,672418141,2766141441,41764711644,
16,214,7641,31464,184444,4651247,66817452,348744744,4462667514,46111146464,
24,487,4664,34434,114614,1433538,14436124,611123641,1516666274,66428137162,
11,161,3476,68148,611363,4464844,11261646,447241121,6741174673,34144422627,
47,644,7442,31611,312461,7412177,13614668,671344474,6114644716,21114111887,
,117,2324,14412,116111,4661641,15744466,661116217,4337811664,64676664478,
,778,6522,48686,423467,4866667,74344578,474177616,3147671754,,
,667,2646,46742,611464,4551467,15373341,613174666,4728477444,,
,414,5446,87641,148746,4444422,22362114,673626447,6166161842,,
,444,1184,17416,478614,4345715,66447215,144744452,4746466466,,
,311,6419,67126,414467,6661671,61665664,143366314,4241447167,,
,146,1148,63664,476741,4147164,76446667,864142684,6877464156,,
,144,7468,74826,774461,5138468,46748646,418174441,4414113171,,
,836,4666,64141,636117,6474668,11741414,457461284,5816161268,,
,424,4414,74354,145447,2268163,44714644,671161861,4436784464,,
,178,6414,48567,443168,4264345,74474365,666166446,,,
,114,1631,47177,381632,8347267,13254444,446141765,,,
,186,7474,46314,448244,1486616,64821157,627613641,,,
,846,6441,41356,414664,6484641,18147616,111146641,,,
,641,5161,74436,613561,4647147,41216864,156432164,,,
,184,1441,61311,633166,1446431,,447114144,,,
,234,4116,71467,411648,4114416,,446856157,,,
,421,1717,14413,136414,7641138,,,,,
,118,7437,16141,563246,6646744,,,,,
,124,7836,48144,472666,3137262,,,,,
,787,6717,34186,414164,1418771,,,,,
,716,1644,11178,183674,5675416,,,,,
,163,4114,66146,314664,2678164,,,,,
,427,1763,46624,174343,6442456,,,,,
,185,6474,47116,444481,,,,,,
,443,1114,67813,625711,,,,,,
,714,4146,84384,943661,,,,,,
,517,7418,11441,647246,,,,,,
,436,6171,68461,464147,,,,,,
,145,3614,43741,463462,,,,,,
,568,3444,,114847,,,,,,
,774,6141,,166666,,,,,,
,718,7124,,,,,,,,
,677,4144,,,,,,,,
,551,4136,,,,,,,,
,777,6664,,,,,,,,
,645,7162,,,,,,,,
,,6114,,,,,,,,
,,7187,,,,,,,,
,,6613,,,,,,,,
,,1734,,,,,,,,
,,4746,,,,,,,,
,,6444,,,,,,,,
,,4762,,,,,,,,
,,7863,,,,,,,,
,,4747,,,,,,,,
,,1265,,,,,,,,
