2,3,4,5,6,7,8,9
24,121,2335,12214,143163,2232252,64314536,432664344
21,324,3223,55523,225651,5465341,46123265,614252512
12,245,4515,56114,664511,1146216,42654351,331226343
63,532,4542,15624,531124,6166634,24544525,112425632
46,561,5311,32144,316665,1552433,61154552,251425351
51,465,6244,25225,225254,5621612,13652334,622221441
61,334,5451,32241,441356,1142363,62355513,556211335
56,443,1234,16242,314664,5616611,55163521,455411132
,446,5232,65561,165111,4262635,55244315,
,336,2112,13161,264123,1236121,21212215,
,435,1444,46555,132321,1562353,11354335,
,315,3444,41655,652543,4453253,,
,462,1445,12425,163242,6553542,,
,222,2326,44356,261243,6424152,,
,524,6242,22254,313122,4215552,,
,466,1151,45563,246513,5153362,,
,444,3563,26633,216443,4454542,,
,214,4214,62143,334442,5226315,,
,554,2161,12112,412416,4332642,,
,262,2643,23211,252325,2514312,,
,536,3345,26111,234664,1124451,,
,432,3612,14214,525225,,,
,356,1566,51311,632112,,,
,332,1546,24444,652666,,,
,323,3564,26635,351262,,,
,,1513,34444,535435,,,
,,6211,14166,142321,,,
,,5341,,621513,,,
,,6363,,221414,,,
,,2421,,243236,,,
,,1315,,,,,
,,3241,,,,,
,,1222,,,,,
,,2456,,,,,
